Date,Track,Race,Plc,Rug,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,Sire,Dam,SP
"Saturday, May 10",Angle Park (SA),1,1,Rug 8,Polarised (8),Jack Trengove,20.29,0.00,4.76,1,31.9kg,Plaintiff,Pechey,$4.40
"Saturday, May 10",Angle Park (SA),1,2,Rug 4,Buggy (4),Jason Dolan,20.47,2.50,4.89,2,35.4kg,Shima Shine,Izza Lektra,$1.80
"Saturday, May 10",Angle Park (SA),1,3,Rug 1,Taz Maniac (1),Shelley Trengove,20.99,10.00,4.95,3,27.4kg,Superior Panama,Raylene Bale,$19.00
"Saturday, May 10",Angle Park (SA),1,4,Rug 2,Zaidee Diva (2),Renata Maruszczyk,21.07,11.00,5.02,4,24.8kg,Fernando Bale,Crazy Diva,$3.40
"Saturday, May 10",Angle Park (SA),1,SCR,Rug 5,Blazin' Bon,Mitchell White,,,,,,Aston Rupee,Always Ho Ho,
"Saturday, May 10",Angle Park (SA),1,SCR,Rug 7,Zirconia Fury,Tony Hinrichsen,,,,,26.1kg,Filthy Phantom,Diamond Carat,
"Saturday, May 10",Angle Park (SA),2,1,Rug 5,Huxi Bear (5),Jack Trengove,20.13,0.00,4.67,1,30.4kg,Fernando Bale,Patriot Earhart,$2.20
"Saturday, May 10",Angle Park (SA),2,2,Rug 4,Curious Gambles (4),Leigh Drganc,20.22,1.25,4.76,2,29.7kg,Kinloch Brae,Kroes,$4.60
"Saturday, May 10",Angle Park (SA),2,3,Rug 7,Pagan Witch (7),Clint Trengove,20.45,4.50,4.84,3,26.9kg,Orson Allen,Hello I'm Jade,$5.50
"Saturday, May 10",Angle Park (SA),2,4,Rug 8,Antecedent (8),Leanne Fagan,20.74,8.75,4.89,5,28.0kg,Spring Bridge,Predecessor,$23.00
"Saturday, May 10",Angle Park (SA),2,5,Rug 2,He's A Profit (2),Leanne Fagan,20.93,11.50,4.89,4,33.3kg,Aston Kimetto,Benitoite,$21.00
"Saturday, May 10",Angle Park (SA),2,6,Rug 1,Yanco Boy (1),Jack Trengove,21.31,16.75,4.97,6,33.4kg,Superior Panama,Mootwingee,$3.90
"Saturday, May 10",Angle Park (SA),2,SCR,Rug 9,Christoff,Clint Trengove,,,,,,Superior Panama,Stitch 'Em Cilla,
"Saturday, May 10",Angle Park (SA),2,SCR,Rug 10,Archer Nine,Jack Trengove,,,,,,Currajong Kid,Cawbourne Zebra,
"Saturday, May 10",Angle Park (SA),3,1,Rug 2,Lady Nova (2),Decota Curran,20.16,0.00,4.67,1,25.0kg,Fernando Bale,Impulse Buy,$2.00
"Saturday, May 10",Angle Park (SA),3,2,Rug 1,Stella Swift (1),Christopher Jaensch,20.25,1.25,4.77,3,25.6kg,Feral Franky,Hojilla Bale,$3.90
"Saturday, May 10",Angle Park (SA),3,3,Rug 4,Aston Baker (4),Paul Fagan,20.25,1.25,4.85,5,31.5kg,Beast Unleashed,Fantastic Skye,$7.50
"Saturday, May 10",Angle Park (SA),3,4,Rug 7,Archer Nine (7),Jack Trengove,20.52,5.25,4.69,2,28.8kg,Currajong Kid,Cawbourne Zebra,$4.00
"Saturday, May 10",Angle Park (SA),3,5,Rug 5,Christoff (5),Clint Trengove,20.68,7.50,4.82,4,31.1kg,Superior Panama,Stitch 'Em Cilla,$41.00
"Saturday, May 10",Angle Park (SA),3,6,Rug 8,Commando Raid (8),Adam Burda,20.70,7.75,4.90,6,29.1kg,Fabregas,Josie Rumble,$26.00
"Saturday, May 10",Angle Park (SA),3,SCR,Rug 9,Yarramundi Coco,Ashleigh Kay,,,,,,Hard Style Rico,Gemma Nismo,
"Saturday, May 10",Angle Park (SA),3,SCR,Rug 10,Dark Trace,Daniel Grgurovic,,,,,,Hooked On Scotch,Miss Takiri,
"Saturday, May 10",Angle Park (SA),4,1,Rug 1,Memories Of Rose (1),Colin Swain,19.76,0.00,4.68,1,25.8kg,Fernando Bale,Nova Willow,$1.33
"Saturday, May 10",Angle Park (SA),4,2,Rug 5,Yarramundi Coco (5),Ashleigh Kay,20.09,4.75,4.78,3,27.8kg,Hard Style Rico,Gemma Nismo,$17.00
"Saturday, May 10",Angle Park (SA),4,3,Rug 4,Dark Trace (4),Daniel Grgurovic,20.35,8.25,4.69,2,35.9kg,Hooked On Scotch,Miss Takiri,$26.00
"Saturday, May 10",Angle Park (SA),4,4,Rug 2,Warm Breeze (2),Christopher Jaensch,20.41,9.25,4.87,4,31.5kg,Feral Franky,Hojilla Bale,$7.00
"Saturday, May 10",Angle Park (SA),4,5,Rug 8,Sunset Chaser (8),Yvonne King,20.50,10.50,4.92,5,29.9kg,Mepunga Blazer,Weblec Queen,$5.50
"Saturday, May 10",Angle Park (SA),4,SCR,Rug 7,Billy Set,Mitchell White,,,,,,Aston Rupee,Always Ho Ho,
"Saturday, May 10",Angle Park (SA),4,SCR,Rug 9,Phantom Carat,Yvonne King,,,,,,Filthy Phantom,Diamond Carat,
"Saturday, May 10",Angle Park (SA),4,SCR,Rug 10,Trademark Mini,Jack Trengove,,,,,,Fernando Bale,Lashes Monelli,
"Saturday, May 10",Angle Park (SA),5,1,Rug 4,Built For Glory (4),Michelle Moon,19.84,0.00,4.69,2,32.4kg,Bernardo,Fernando's Glory,$2.70
"Saturday, May 10",Angle Park (SA),5,2,Rug 7,Destini Fresco (7),Sharyn Gray,20.34,7.00,4.82,4,28.6kg,Aussie Infrared,Precious Destini,$14.00
"Saturday, May 10",Angle Park (SA),5,3,Rug 1,Trademark Mini (1),Jack Trengove,20.38,7.75,4.84,5,28.1kg,Fernando Bale,Lashes Monelli,$2.15
"Saturday, May 10",Angle Park (SA),5,4,Rug 5,Phantom Carat (5),Yvonne King,20.46,8.75,4.67,1,27.1kg,Filthy Phantom,Diamond Carat,$9.00
"Saturday, May 10",Angle Park (SA),5,5,Rug 2,Past President (2),Steven Brook,20.55,10.00,4.80,3,30.1kg,Worm Burner,Zipping Fee Fee,$7.00
"Saturday, May 10",Angle Park (SA),5,SCR,Rug 8,Rico,Kym Burnett,,,,,30.6kg,Hard Style Rico,Shanlyn Haven,
"Saturday, May 10",Angle Park (SA),5,SCR,Rug 9,Kota Lambai,Leanne Fagan,,,,,,Zack Monelli,Cimarron Strip,
"Saturday, May 10",Angle Park (SA),5,SCR,Rug 10,Crying Tiger,Leigh Drganc,,,,,,Fernando Bale,Angel Ice,
"Saturday, May 10",Angle Park (SA),6,1,Rug 1,Golden Blend (1),Michelle Moon,19.59,0.00,4.63,2,32.4kg,Lk's Crushn It,Sergis,$2.30
"Saturday, May 10",Angle Park (SA),6,2,Rug 5,Buffy's No Angel (5),Jason Dolan,20.00,5.75,4.72,4,28.7kg,Shima Shine,Izza Lektra,$10.00
"Saturday, May 10",Angle Park (SA),6,3,Rug 8,Kota Lambai (8),Leanne Fagan,20.01,6.00,4.62,1,28.0kg,Zack Monelli,Cimarron Strip,$26.00
"Saturday, May 10",Angle Park (SA),6,4,Rug 7,Flying Saucer (7),Nathan Goodenough,20.02,6.00,4.73,5,31.8kg,Zipping Garth,Aston Mekong,$2.90
"Saturday, May 10",Angle Park (SA),6,5,Rug 4,Merger (4),Jack Trengove,20.16,8.25,4.72,3,30.3kg,Plaintiff,Shallow Witts,$4.80
"Saturday, May 10",Angle Park (SA),6,6,Rug 2,Crying Tiger (2),Leigh Drganc,20.28,9.75,4.75,6,30.3kg,Fernando Bale,Angel Ice,$12.00
"Saturday, May 10",Angle Park (SA),6,SCR,Rug 9,Toora Gracie,Laurie Cahalan,,,,,,Koblenz,Mepunga Grace,
"Saturday, May 10",Angle Park (SA),7,1,Rug 4,Dark Queen (4),Clint Trengove,20.20,0.00,4.79,3,30.2kg,Sh Avatar,Stitch 'Em Baby,$4.20
"Saturday, May 10",Angle Park (SA),7,2,Rug 5,Optic Blue (5),Marty Doyle,20.39,2.50,4.72,2,38.1kg,Barcia Bale,Harbison Miss,$15.00
"Saturday, May 10",Angle Park (SA),7,3,Rug 2,Aston Georgina (2),Leanne Fagan,20.41,3.00,4.89,5,28.1kg,Aston Kimetto,Aston Regas,$3.00
"Saturday, May 10",Angle Park (SA),7,4,Rug 1,Jade Palms (1),Leslie Carraill,20.53,4.75,5.01,6,27.6kg,Fabregas,Slipper's Soda,$8.00
"Saturday, May 10",Angle Park (SA),7,5,Rug 7,Bingo Queen (7),Clint Trengove,20.62,6.00,4.62,1,29.7kg,Flying Ricciardo,Rock It Fabio,$3.70
"Saturday, May 10",Angle Park (SA),7,6,Rug 8,Plodding Along (8),Clint Trengove,20.75,7.75,4.79,4,29.7kg,Jury,Slipper's Tee,$5.50
"Saturday, May 10",Angle Park (SA),7,SCR,Rug 9,Our Sheralee,Clint Trengove,,,,,,Flying Ricciardo,Rock It Fabio,
"Saturday, May 10",Angle Park (SA),7,SCR,Rug 10,Mine Master,Desmond Hockley,,,,,,Fernando Bale,Qomie Bale,
"Saturday, May 10",Angle Park (SA),8,1,Rug 1,Mine Master (1),Desmond Hockley,19.87,0.00,4.57,1,31.1kg,Fernando Bale,Qomie Bale,$11.00
"Saturday, May 10",Angle Park (SA),8,2,Rug 2,Thundering Lady (2),Clint Trengove,19.99,1.75,4.68,2,34.8kg,Knocka Norris,Strength To Wyn,$3.20
"Saturday, May 10",Angle Park (SA),8,3,Rug 4,Minnie Monster (4),Tony Hinrichsen,20.23,5.25,4.79,5,24.8kg,Koblenz,Dyna Maple,$2.90
"Saturday, May 10",Angle Park (SA),8,4,Rug 7,Our Sheralee (7),Clint Trengove,20.47,8.50,4.83,6,25.5kg,Flying Ricciardo,Rock It Fabio,$18.00
"Saturday, May 10",Angle Park (SA),8,5,Rug 5,King Cordite (5),Gino Grgurovic,20.64,11.00,4.74,4,34.8kg,Hooked On Scotch,Miss Bellawood,$11.00
"Saturday, May 10",Angle Park (SA),8,6,Rug 8,Copper Town (8),Paul Barry,20.80,13.25,4.70,3,28.6kg,Spring Bridge,Sweet Sapphire,$3.10
"Saturday, May 10",Angle Park (SA),8,SCR,Rug 9,Spring Sophie,Paul Fagan,,,,,,Barcia Bale,Spring Catch,
"Saturday, May 10",Angle Park (SA),8,SCR,Rug 10,Princess Cordite,Di Wilson,,,,,,Hooked On Scotch,Miss Bellawood,
"Saturday, May 10",Angle Park (SA),9,1,Rug 5,Sparks Flying (5),Paul Fagan,19.93,0.00,4.55,1,27.8kg,Aston Dee Bee,Cosmic Katie,$2.20
"Saturday, May 10",Angle Park (SA),9,2,Rug 4,As Charged (4),John Cunningham,19.94,0.13,4.56,2,25.1kg,Jury,West On Tia,$7.00
"Saturday, May 10",Angle Park (SA),9,3,Rug 7,Cabao Marble (7),Clint Trengove,20.00,1.00,4.65,3,28.0kg,Beast Unleashed,Cabao,$4.20
"Saturday, May 10",Angle Park (SA),9,4,Rug 1,Rolling Riot (1),Donald Turner,20.01,1.00,4.72,4,34.2kg,Whiskey Riot,Roxy Rolla,$4.60
"Saturday, May 10",Angle Park (SA),9,5,Rug 8,Spring Sophie (8),Paul Fagan,20.30,5.25,4.80,6,29.9kg,Barcia Bale,Spring Catch,$9.00
"Saturday, May 10",Angle Park (SA),9,6,Rug 2,Princess Cordite (2),Di Wilson,20.40,6.50,4.75,5,27.8kg,Hooked On Scotch,Miss Bellawood,$26.00
"Saturday, May 10",Angle Park (SA),9,SCR,Rug 9,Run On Rusty,Renata Maruszczyk,,,,,,Fernando Bale,Crazy Again,
"Saturday, May 10",Angle Park (SA),9,SCR,Rug 10,Obliterated,Tony Hinrichsen,,,,,,Mr Pupparazzi,Begonia Bale,
"Saturday, May 10",Angle Park (SA),10,1,Rug 7,Techno Kelli (7),Ashleigh Kay,19.77,0.00,4.59,1,26.7kg,Hard Style Rico,Shanlyn Haven,$5.50
"Saturday, May 10",Angle Park (SA),10,2,Rug 4,No Idea (4),Adam Burda,19.81,0.75,4.67,3,30.5kg,Fernando Bale,Josie Rumble,$3.00
"Saturday, May 10",Angle Park (SA),10,3,Rug 8,Better Devil's (8),Gino Grgurovic,20.10,4.75,4.73,4,27.1kg,Hooked On Scotch,Miss Bellawood,$16.00
"Saturday, May 10",Angle Park (SA),10,4,Rug 9,Ritza Riot (5),Paul Turner,20.17,5.75,4.60,2,24.3kg,Ritza Lenny,Dragon Spin,$3.70
"Saturday, May 10",Angle Park (SA),10,5,Rug 1,Obliterated (1),Tony Hinrichsen,20.35,8.25,4.87,6,27.6kg,Mr Pupparazzi,Begonia Bale,$4.60
"Saturday, May 10",Angle Park (SA),10,6,Rug 2,Run On Rusty (2),Renata Maruszczyk,20.64,12.25,4.81,5,29.8kg,Fernando Bale,Crazy Again,$7.50
"Saturday, May 10",Angle Park (SA),10,SCR,Rug 5,Breaker Of Rules,Steven Brook,,,,,,Fernando Bale,Lawrie Road,
"Saturday, May 10",Angle Park (SA),10,SCR,Rug 10,Zinfandel Austin,Jack Trengove,,,,,,Worm Burner,Zinfandel Zara,
"Saturday, May 10",Ballarat (VIC),1,1,Rug 5,Laura May (5),Wendy Saathoff,22.54,0.00,8.65,M23,27.8kg,Good Odds Harada,Pirates Patch,$3.40
"Saturday, May 10",Ballarat (VIC),1,2,Rug 4,Volts (4),Tracey Deglaitis,22.66,1.79,8.73,S44,32.8kg,Aston Rupee,Voltage Spike,$6.80
"Saturday, May 10",Ballarat (VIC),1,3,Rug 2,Where's Wyche (2),Cody Hose,22.73,2.73,8.65,Q32,26.9kg,My Redeemer,Lady Emerald,$6.00
"Saturday, May 10",Ballarat (VIC),1,4,Rug 8,Eccentric Mona (8),Glen Davies,22.79,3.63,8.54,M11,26.3kg,Tommy Shelby,Wharfies Girl,$29.90
"Saturday, May 10",Ballarat (VIC),1,5,Rug 1,Rebel Sal (1),Margaret Salvatore,22.81,3.94,8.77,M75,32.1kg,Aston Rupee,My Dewana Penny,$10.30
"Saturday, May 10",Ballarat (VIC),1,6,Rug 7,Pressure Down (7),Marcus Lloyd,22.88,4.93,8.86,M87,28.3kg,Jungle Deuce,Nangar Gift,$11.70
"Saturday, May 10",Ballarat (VIC),1,7,Rug 6,Paw Enna (6),Luke Harris,23.05,7.26,8.77,M66,27.8kg,Allen Deed,Quintana Bale,$9.60
"Saturday, May 10",Ballarat (VIC),1,8,Rug 3,Son Of Sybil (3),Kelvin Browney,23.30,10.91,8.75,M58,30.2kg,Beast Unleashed,Invictus Sybil,$4.00
"Saturday, May 10",Ballarat (VIC),1,SCR,Rug 9,She Rebel,Kyle Brooks,,,,,,Aston Rupee,Select Trick,
"Saturday, May 10",Ballarat (VIC),1,SCR,Rug 10,Sour Girl,Kyle Brooks,,,,,,Fernando Bale,Punk Lass Rocks,
"Saturday, May 10",Ballarat (VIC),2,1,Rug 4,Aston Finniss (4),Chris Reynolds,22.42,0.00,8.57,M23,24.0kg,Fernando Bale,Aston Rhone,$3.30
"Saturday, May 10",Ballarat (VIC),2,2,Rug 5,Patriot Millard (5),Mark Roberts,22.48,0.83,8.69,M42,30.0kg,Aussie Infrared,Patriot Tubman,$4.30
"Saturday, May 10",Ballarat (VIC),2,3,Rug 2,Spirited Sal (2),Tony Salpigtidis,22.54,1.75,8.50,M11,27.3kg,Aston Rupee,Ayia Sophia,$8.80
"Saturday, May 10",Ballarat (VIC),2,4,Rug 3,Nicky's Secret (3),Michael Bewley,22.60,2.51,8.97,S85,27.1kg,Aussie Secret,Dyna Sarah,$12.70
"Saturday, May 10",Ballarat (VIC),2,5,Rug 8,Olympia Onyx (8),Margaret Salvatore,22.67,3.51,8.66,S36,26.9kg,Aston Rupee,Silky Riot,$3.50
"Saturday, May 10",Ballarat (VIC),2,6,Rug 7,Seth Sonic (7),Marcus Lloyd,22.72,4.36,8.71,M54,33.4kg,Keybow,Alvira,$38.80
"Saturday, May 10",Ballarat (VIC),2,7,Rug 6,Reiko Benny (6),Mathew Tabb,22.97,7.83,8.87,S78,35.4kg,Fabregas,Reiko Martini,$11.10
"Saturday, May 10",Ballarat (VIC),2,8,Rug 1,Cornhill Hustler (1),Scott Gibson,23.12,10.06,8.82,M67,28.5kg,Feral Franky,Mercy Mercy,$20.20
"Saturday, May 10",Ballarat (VIC),2,SCR,Rug 9,Grumpy Gerrie,Alan Campbell,,,,,,Aussie Infrared,Morticia,
"Saturday, May 10",Ballarat (VIC),2,SCR,Rug 10,Stilton Panama,Samuel Webb,,,,,,Superior Panama,Zipping Mish,
"Saturday, May 10",Ballarat (VIC),3,1,Rug 4,Sketchy Demos (4),Linda Desmond,21.96,0.00,8.35,M11,30.8kg,Orson Allen,Boil And Bubble,$2.70
"Saturday, May 10",Ballarat (VIC),3,2,Rug 5,Been Gifted (5),Keith Lancaster,22.20,3.33,8.46,M22,32.4kg,Aston Rupee,Boom Foot,$7.30
"Saturday, May 10",Ballarat (VIC),3,3,Rug 6,Silvertree Ben (6),Jason Wickham,22.48,7.36,8.72,M53,27.8kg,Aston Duke,Zipping Rosita,$3.20
"Saturday, May 10",Ballarat (VIC),3,4,Rug 8,Holtorf Bale (8),Luke Harris,22.70,10.47,8.72,M44,33.0kg,Dyna Villa,Dyna Nina,$8.80
"Saturday, May 10",Ballarat (VIC),3,5,Rug 2,Moraine Gemma (2),Debbie Goudge,22.79,11.80,8.67,M36,26.0kg,Hooked On Scotch,Radio Silent,$15.60
"Saturday, May 10",Ballarat (VIC),3,6,Rug 3,Undercover Guy (3),Jordan McQuillen,22.88,13.06,8.89,M75,34.2kg,Catch The Thief,Somerton May,$7.60
"Saturday, May 10",Ballarat (VIC),3,7,Rug 7,Gas Man (7),Mark Roberts,22.96,14.17,8.79,M67,32.9kg,Fabregas,Proven Scary,$28.10
"Saturday, May 10",Ballarat (VIC),3,DNF,Rug 1,Go Gizmo Go (1),Kenneth Howat,,,9.31,M88,25.1kg,Get It Gizmo,Zipping Lyric,
"Saturday, May 10",Ballarat (VIC),3,SCR,Rug 9,Far Out Scout,Michael Callanan,,,,,,Fernando Bale,Yindi Girl Turbo,
"Saturday, May 10",Ballarat (VIC),3,SCR,Rug 10,Paw Valentina,Tammy Kennedy-Harris,,,,,,Fernando Bale,Mckeon Bale,
"Saturday, May 10",Ballarat (VIC),4,1,Rug 2,Maybe Rain (2),Peter Fulton,22.32,0.00,8.48,M21,26.0kg,Fabregas,Sixteen Pegs,$5.40
"Saturday, May 10",Ballarat (VIC),4,2,Rug 5,Paw Kattia (5),Tammy Kennedy-Harris,22.37,0.80,8.59,Q32,27.4kg,Feral Franky,Dyna Winter,$10.60
"Saturday, May 10",Ballarat (VIC),4,3,Rug 8,Step On Air (8),Catherine Roberts,22.38,0.90,8.41,M14,30.2kg,Tommy Shelby,Art Noveau,$20.20
"Saturday, May 10",Ballarat (VIC),4,4,Rug 4,Tuff Toby (4),Patrick Furci,22.55,3.39,8.67,M45,34.1kg,Feral Franky,Miss Roxy,$7.50
"Saturday, May 10",Ballarat (VIC),4,5,Rug 3,Deadly Dave (3),Robert Taylor,22.64,4.61,8.71,Q53,34.6kg,Bernardo,Close Enough,$9.40
"Saturday, May 10",Ballarat (VIC),4,6,Rug 6,Maddy Giblet (6),Rita Gatt,22.72,5.73,8.74,M77,27.2kg,Feral Franky,Gloria Bale,$3.50
"Saturday, May 10",Ballarat (VIC),4,7,Rug 1,Paltrow Bale (1),Tammy Kennedy-Harris,22.72,5.80,8.78,M86,28.0kg,Need My Moneynow,Dyna Gertie,$5.80
"Saturday, May 10",Ballarat (VIC),4,8,Rug 7,Mills For Three (7),Jimmy Holt,22.98,9.50,8.73,M68,32.9kg,Tommy Shelby,Snooky,$6.60
"Saturday, May 10",Ballarat (VIC),4,SCR,Rug 9,Style Key,Michael Gibbons,,,,,,Zambora Brockie,Friskey,
"Saturday, May 10",Ballarat (VIC),4,SCR,Rug 10,No More Issues,Justin Perkins,,,,,,Hostile,Quick Succession,
"Saturday, May 10",Ballarat (VIC),5,1,Rug 7,Moraine Ariana (7),Glenn Judd,25.52,0.00,6.72,Q222,27.6kg,Koblenz,Moraine Coco,$3.60
"Saturday, May 10",Ballarat (VIC),5,2,Rug 8,Queen Shaka (8),Michael Bewley,25.66,1.97,6.67,M111,30.0kg,Feral Franky,Gazer Bale,$1.70
"Saturday, May 10",Ballarat (VIC),5,3,Rug 2,Tom's Bourbski (2),Jayden Cassar,25.85,4.76,6.83,M344,31.4kg,Barcia Bale,Sunset Bourbski,$13.40
"Saturday, May 10",Ballarat (VIC),5,4,Rug 6,New Line (6),Anita Gibbons,25.92,5.75,6.86,M433,32.5kg,Bernardo,Red Hot Tears,$10.20
"Saturday, May 10",Ballarat (VIC),5,5,Rug 1,Zipping Crusader (1),Daniel Webber,25.98,6.59,6.87,S555,33.6kg,Goodesy,Zipping Abby,$21.10
"Saturday, May 10",Ballarat (VIC),5,6,Rug 5,Aggregate (5),Anita Gibbons,26.13,8.70,6.90,Q666,32.4kg,Superior Panama,It's A Fling,$16.20
"Saturday, May 10",Ballarat (VIC),5,7,Rug 4,Shaka Big Chief (4),Debbie Bewley,26.18,9.44,7.04,M887,30.6kg,Feral Franky,Gazer Bale,$31.00
"Saturday, May 10",Ballarat (VIC),5,8,Rug 3,Ron's Mistake (3),Debbie Bewley,26.25,10.39,6.95,M778,31.0kg,Feral Franky,Taylor Jayde,$40.60
"Saturday, May 10",Ballarat (VIC),6,1,Rug 5,That's My Cousin (5),Nick Lecchino,25.55,0.00,6.66,Q111,35.3kg,Koblenz,Miss Molly Lee,$3.50
"Saturday, May 10",Ballarat (VIC),6,2,Rug 8,Miss Georgie Lee (8),Nick Lecchino,25.58,0.47,6.73,M223,28.4kg,Koblenz,Miss Molly Lee,$2.70
"Saturday, May 10",Ballarat (VIC),6,3,Rug 6,Our Last Hope (6),Gary Hansen,25.73,2.53,6.77,M332,29.2kg,Allen Deed,Zipping Amber,$26.70
"Saturday, May 10",Ballarat (VIC),6,4,Rug 3,Rapidfire Jayda (3),Jimmy Holt,25.98,6.13,6.98,M776,30.1kg,Fabregas,Wynburn Lucifer,$7.10
"Saturday, May 10",Ballarat (VIC),6,5,Rug 2,Artificial Blue (2),Calum Blake,25.99,6.20,6.80,M445,33.8kg,Raw Ability,Dubovka,$20.50
"Saturday, May 10",Ballarat (VIC),6,6,Rug 1,Voltage Strike (1),Tracey Deglaitis,26.17,8.87,6.84,M567,31.8kg,Aston Rupee,Voltage Spike,$4.10
"Saturday, May 10",Ballarat (VIC),6,7,Rug 4,Collinda Air (4),Jordan McQuillen,26.20,9.26,6.94,M654,27.6kg,Bernardo,Audacious Bell,$17.80
"Saturday, May 10",Ballarat (VIC),6,SCR,Rug 7,Brandenburg,Briana Robertson -Leech,,,,,,Aston Dee Bee,Miss Morrisset,
"Saturday, May 10",Ballarat (VIC),7,1,Rug 8,Highland Jack (8),Gary Hansen,25.43,0.00,6.70,111,33.2kg,Hard Style Rico,Colourful Past,$5.90
"Saturday, May 10",Ballarat (VIC),7,2,Rug 7,Garritty (7),Gerard O'Keeffe,25.76,4.63,6.90,635,33.7kg,Beast Unleashed,Cosmic Katie,$2.40
"Saturday, May 10",Ballarat (VIC),7,3,Rug 3,Yaku Bale (3),Luke Harris,25.81,5.34,6.89,542,28.5kg,Droopys Sydney,Winnie Allen,$28.10
"Saturday, May 10",Ballarat (VIC),7,4,Rug 4,Paw Cassian (4),Gary Mannion,25.88,6.34,6.90,754,33.0kg,Allen Deed,Fanta Bale,$12.20
"Saturday, May 10",Ballarat (VIC),7,5,Rug 5,Goosebumps Rico (5),Darren Fisher,25.88,6.43,6.88,423,32.9kg,Hard Style Rico,Drakensberg Dot,$3.50
"Saturday, May 10",Ballarat (VIC),7,6,Rug 2,Moraine Sadie (2),Glenn Judd,26.11,9.66,6.82,287,26.8kg,Koblenz,Moraine Coco,$22.60
"Saturday, May 10",Ballarat (VIC),7,7,Rug 1,Cornhill Storm (1),Scott Gibson,26.11,9.69,6.88,376,26.7kg,Feral Franky,Mercy Mercy,$20.40
"Saturday, May 10",Ballarat (VIC),7,8,Rug 6,Aston Hedland (6),Raymond Gatt,26.14,10.13,6.99,868,31.0kg,Aston Fastnet,Aston Sakura,$9.80
"Saturday, May 10",Ballarat (VIC),7,SCR,Rug 9,Here Comes Shaka,Michael Bewley,,,,,,Feral Franky,Gazer Bale,
"Saturday, May 10",Ballarat (VIC),8,1,Rug 3,Jazzy Hope (3),Rita Gatt,25.37,0.00,6.63,131,27.6kg,Aston Kimetto,Queen Amarok,$1.60
"Saturday, May 10",Ballarat (VIC),8,2,Rug 6,Aston Blend (6),Christian Roberts,25.62,3.53,6.63,212,28.8kg,Hooked On Scotch,Aston Glow,$6.40
"Saturday, May 10",Ballarat (VIC),8,3,Rug 5,Mandolin Storm (5),Michael Katsiris,25.66,4.13,6.74,555,29.4kg,Aston Fastnet,Pretty Much,$6.90
"Saturday, May 10",Ballarat (VIC),8,4,Rug 7,Kid Luck (7),James Kirk,25.77,5.80,6.72,326,31.7kg,Dyna Villa,Cheekers,$11.30
"Saturday, May 10",Ballarat (VIC),8,5,Rug 4,Demonic Spirit (4),Katrina Evans,25.90,7.57,6.72,444,33.4kg,Feral Franky,Dreaming,$13.80
"Saturday, May 10",Ballarat (VIC),8,6,Rug 1,Vista Vanadium (1),Troy Hammerstein,25.90,7.66,6.90,773,36.8kg,Aston Rupee,Gypsy Vista,$28.80
"Saturday, May 10",Ballarat (VIC),8,7,Rug 8,Talk Backs Back (8),Samuel Webb,26.09,10.36,6.79,667,30.2kg,Fernando Bale,Jay Bird,$19.60
"Saturday, May 10",Ballarat (VIC),8,SCR,Rug 2,Bengal Bullet,Gordon Edwards,,,,,,Feral Franky,Fran Keeping,
"Saturday, May 10",Ballarat (VIC),9,1,Rug 8,Tickets (8),Shaun Boag,25.70,0.00,6.78,212,31.3kg,Bernardo,Dyna Quota,$3.00
"Saturday, May 10",Ballarat (VIC),9,2,Rug 7,Moraine Piper (7),Dean Elliot,25.75,0.70,6.67,121,29.0kg,Ferdinand Boy,Moraine Rosie,$10.20
"Saturday, May 10",Ballarat (VIC),9,3,Rug 6,Jodie's Angel (6),Glen Davies,25.93,3.25,6.88,333,30.3kg,Flying Ricciardo,Karise Fusileer,$90.00
"Saturday, May 10",Ballarat (VIC),9,4,Rug 4,Dad's Plum Sauce (4),Gary Mannion,25.95,3.46,7.09,555,25.3kg,Fernando Bale,Ma's Plum Jam,$12.80
"Saturday, May 10",Ballarat (VIC),9,5,Rug 5,Cornhill Raven (5),Scott Gibson,26.00,4.25,6.99,444,29.0kg,Feral Franky,Mercy Mercy,$36.40
"Saturday, May 10",Ballarat (VIC),9,6,Rug 3,Bengal  Beast (3),Gordon Edwards,26.21,7.25,7.14,666,35.0kg,Beast Unleashed,Invictus Sybil,$11.60
"Saturday, May 10",Ballarat (VIC),9,7,Rug 1,Untouched (1),Paul Galea,26.80,15.66,7.32,878,26.1kg,Fernando Bale,Black Robin,$1.80
"Saturday, May 10",Ballarat (VIC),9,8,Rug 2,Pa's A Rebel (2),Cody Hose,27.21,21.51,7.23,787,32.1kg,Jury,West On Tia,$114.90
"Saturday, May 10",Ballarat (VIC),9,SCR,Rug 9,Dancing Blue,Jason Stemmer,,,,,,Koblenz,East Of Blue,
"Saturday, May 10",Ballarat (VIC),9,SCR,Rug 10,Aston Golea,Chris Reynolds,,,,,,Aston Fastnet,Aston Corinna,
"Saturday, May 10",Ballarat (VIC),10,1,Rug 3,Speedy Khe Sanh (3),Ian Hopper,22.26,0.00,8.39,Q12,25.9kg,Aston Dee Bee,Uptown Trixie,$6.50
"Saturday, May 10",Ballarat (VIC),10,2,Rug 1,Mia Madella (1),Patrick Furci,22.36,1.47,8.50,M21,27.4kg,Feral Franky,Swift Timing,$4.90
"Saturday, May 10",Ballarat (VIC),10,3,Rug 8,Revenge Speckle (8),Dean Elliot,22.62,5.09,8.72,M44,28.5kg,Out Of Range,Oriental Kay,$2.70
